Departmets,Groups,Job Type,Marital Status,Age,Business Unit,Hire Date,Emp.Type,Sick Days,Balance Days,Years in current role,Years since last promition,Education,Job Involvement,Job Satisfaction,Performance Rating,Relationship Satisfaction,WorkLife Balance,Last Name,Gender,Salary,Job Classification,Emp No.
Customer Service,Group B,Part Time,Divorced,42,Seattle,00:00.0,Non Active,2,13,1 Year,3 Years,Doctor,Very High,Low,Excellent,Medium,Good,Morrow,Male,116067,Other,3139
Quality Assurance,Group B,Full Time,Divorced,63,Los Angeles,00:00.0,Active,1,5,1 Year,3 Years,Doctor,Medium,Very High,Good,Very High,Good,Dalton,Male,98459,Other,3150
Research and Development,Group D,Full Time,Divorced,50,New York City,00:00.0,Active,5,11,1 Year,3 Years,College,Medium,Very High,Low,High,Good,Robinson,Female,77649,Other,3166
Customer Relations,Group A,Part Time,Divorced,36,Houston,00:00.0,Active,12,17,3 Years,3 Years,Masters,Low,High,Low,Very High,Good,Merrill,Female,85510,Other,3185
Media Relations,Group D,Part Time,Divorced,42,Los Angeles,00:00.0,Non Active,8,17,1 Year,3 Years,Masters,Very High,High,Outstanding,Very High,Bad,Duffy,Male,91758,Other,3223
Payroll,Group B,Part Time,Divorced,53,Houston,00:00.0,Active,2,8,1 Year,3 Years,Doctor,Medium,Very High,Outstanding,High,Bad,House,Female,95886,Other,3307
Media Relations,Group A,Part Time,Divorced,62,Houston,00:00.0,Non Active,8,8,3 Years,3 Years,College,Low,Very High,Good,Very High,Bad,Jennings,Male,81459,Other,3397
Public Relations,Group B,Part Time,Divorced,59,Los Angeles,00:00.0,Non Active,4,7,1 Year,3 Years,Masters,High,Medium,Excellent,High,Good,Orr,Female,71397,Other,3437
Finances,Group D,Full Time,Divorced,59,Houston,00:00.0,Non Active,11,9,3 Years,3 Years,Doctor,High,Very High,Good,High,Better,Beach,Female,93427,Other,3464
Customer Service,Group A,Part Time,Single,46,Los Angeles,00:00.0,Non Active,6,11,3 Years,3 Years,College,Very High,Very High,Low,High,Bad,Valencia,Male,84824,Other,12
Customer Relations,Group C,Full Time,Single,55,Houston,00:00.0,Active,7,5,2 Years,3 Years,College,Low,Very High,Outstanding,Very High,Bad,West,Female,93947,Other,38
Quality Assurance,Group C,Part Time,Single,40,Los Angeles,00:00.0,Active,6,20,3 Years,3 Years,Doctor,Medium,High,Good,High,Bad,Franklin,Male,95093,Other,68
Legal Department,Group A,Full Time,Single,45,Seattle,00:00.0,Non Active,1,6,2 Years,3 Years,Masters,Very High,Low,Good,Low,Better,Sutton,Female,99851,Other,77
Sales and Marketing,Group B,Part Time,Single,24,Los Angeles,00:00.0,Active,1,16,1 Year,3 Years,Bachelor,Medium,Low,Low,Low,Best,Dixon,Male,89040,Other,79
Asset Management,Group B,Part Time,Single,43,Houston,00:00.0,Active,12,17,1 Year,3 Years,College,High,Medium,Excellent,Medium,Best,Conway,Male,116532,Other,90
Public Relations,Group C,Part Time,Single,53,Houston,00:00.0,Active,6,9,2 Years,3 Years,Doctor,Very High,Very High,Outstanding,High,Better,Wilkerson,Male,97111,Other,123
Public Relations,Group B,Part Time,Single,63,Seattle,00:00.0,Active,12,7,3 Years,3 Years,College,Low,Very High,Excellent,Medium,Best,Duffy,Male,115148,Other,138
Advertising,Group A,Full Time,Single,40,Seattle,00:00.0,Non Active,4,18,3 Years,3 Years,Bachelor,Very High,Low,Excellent,Low,Good,Crawford,Male,83245,Other,155
Public Relations,Group D,Part Time,Single,34,Seattle,00:00.0,Non Active,4,10,2 Years,3 Years,Doctor,Medium,Very High,Low,Medium,Good,Cox,Female,75482,Other,195
Finances,Group C,Full Time,Single,63,Los Angeles,00:00.0,Non Active,9,15,3 Years,3 Years,Doctor,High,High,Low,Medium,Bad,Blake,Male,115130,Other,222
Customer Service,Group A,Full Time,Single,59,New York City,00:00.0,Active,7,8,1 Year,3 Years,Bachelor,Low,High,Outstanding,High,Good,Newton,Male,81645,Other,229
Asset Management,Group A,Full Time,Single,50,Houston,00:00.0,Non Active,9,16,2 Years,3 Years,College,Low,Medium,Excellent,Medium,Good,Jarvis,Male,80980,Other,235
Sales and Marketing,Group B,Full Time,Single,27,Los Angeles,00:00.0,Non Active,5,11,3 Years,3 Years,Doctor,Low,Very High,Good,High,Good,Henson,Male,115311,Other,251
Asset Management,Group D,Part Time,Single,65,Houston,00:00.0,Active,5,17,3 Years,3 Years,Doctor,Low,High,Excellent,Low,Best,Bentley,Female,71960,Other,262
Human Resources,Group B,Full Time,Single,47,Seattle,00:00.0,Non Active,7,5,2 Years,3 Years,Bachelor,High,Low,Good,Medium,Better,Hester,Female,79026,Other,266
Finances,Group B,Part Time,Single,41,Houston,00:00.0,Non Active,7,15,3 Years,3 Years,College,Medium,Low,Good,High,Better,Workman,Male,106909,Other,293
Tech Support,Group D,Part Time,Single,46,Houston,00:00.0,Active,12,9,2 Years,3 Years,Doctor,Medium,Medium,Good,Very High,Bad,Green,Female,101400,Other,327
Quality Assurance,Group D,Full Time,Single,64,Los Angeles,00:00.0,Non Active,11,11,2 Years,3 Years,Doctor,High,Very High,Low,Low,Best,Bernard,Female,111217,Other,363
Media Relations,Group C,Full Time,Single,58,New York City,00:00.0,Non Active,9,16,2 Years,3 Years,Doctor,Medium,Medium,Outstanding,High,Best,Kerr,Female,109161,Other,379
Finances,Group D,Full Time,Single,45,New York City,00:00.0,Active,10,18,1 Year,3 Years,Masters,High,Very High,Excellent,High,Best,Larsen,Female,89751,Other,380
Tech Support,Group B,Full Time,Single,55,Seattle,00:00.0,Active,12,10,1 Year,3 Years,Masters,Low,Low,Excellent,Very High,Best,Leon,Male,87304,Other,384
Payroll,Group D,Part Time,Single,32,Seattle,00:00.0,Non Active,3,9,3 Years,3 Years,Bachelor,Low,High,Excellent,High,Bad,Hayden,Male,99885,Other,403
Human Resources,Group C,Full Time,Single,39,Los Angeles,00:00.0,Active,10,12,1 Year,3 Years,Masters,Very High,Medium,Good,Medium,Best,Rojas,Female,106958,Other,410
Human Resources,Group A,Part Time,Single,45,New York City,00:00.0,Non Active,1,8,3 Years,3 Years,Bachelor,Low,Very High,Excellent,High,Better,Hill,Male,86970,Other,418
Quality Assurance,Group B,Part Time,Single,36,Los Angeles,00:00.0,Non Active,7,9,2 Years,3 Years,Masters,High,Medium,Good,Medium,Bad,Mclaughlin,Female,98385,Other,453
Advertising,Group B,Part Time,Single,57,Los Angeles,00:00.0,Non Active,7,18,2 Years,3 Years,College,Low,Low,Outstanding,Low,Better,Patel,Male,113116,Other,478
Accounting,Group C,Full Time,Single,57,New York City,00:00.0,Active,12,14,3 Years,3 Years,Doctor,Very High,Low,Good,High,Bad,Love,Male,78814,Other,485
Public Relations,Group A,Part Time,Single,34,New York City,00:00.0,Active,10,19,3 Years,3 Years,Doctor,Low,Medium,Low,Medium,Bad,Koch,Male,115067,Other,486
Advertising,Group B,Full Time,Single,36,New York City,00:00.0,Non Active,7,6,3 Years,3 Years,Masters,High,High,Excellent,Medium,Good,Joseph,Male,85091,Other,544
Human Resources,Group C,Full Time,Single,34,Los Angeles,00:00.0,Non Active,4,5,1 Year,3 Years,Masters,Very High,Medium,Low,Very High,Best,Fletcher,Male,76438,Other,546
Media Relations,Group C,Part Time,Single,30,Houston,00:00.0,Active,4,16,2 Years,3 Years,College,Medium,Very High,Low,Very High,Good,Cash,Male,118036,Other,580
Customer Relations,Group D,Full Time,Single,60,Seattle,00:00.0,Active,3,18,3 Years,3 Years,Masters,Very High,Medium,Good,Low,Good,Pace,Male,79685,Other,592
Advertising,Group C,Full Time,Single,26,Houston,00:00.0,Active,6,12,3 Years,3 Years,College,Low,Medium,Excellent,High,Better,Monroe,Female,103401,Other,601
Customer Relations,Group D,Part Time,Single,65,New York City,00:00.0,Non Active,5,20,3 Years,3 Years,College,High,High,Excellent,Very High,Good,Sosa,Male,78237,Other,605
Payroll,Group A,Full Time,Single,33,New York City,00:00.0,Active,1,9,2 Years,3 Years,College,High,High,Low,High,Bad,Carrillo,Female,71425,Other,646
Finances,Group D,Full Time,Single,36,New York City,00:00.0,Non Active,5,6,1 Year,3 Years,Bachelor,Medium,High,Good,High,Good,Macias,Female,88184,Other,651
Finances,Group B,Full Time,Single,37,Los Angeles,00:00.0,Active,2,17,1 Year,3 Years,Doctor,Low,Low,Low,High,Better,Mccormick,Female,94741,Other,690
Quality Assurance,Group B,Full Time,Single,28,Los Angeles,00:00.0,Non Active,11,15,1 Year,3 Years,Bachelor,Low,High,Excellent,High,Bad,Turner,Female,112419,Other,710
Customer Service,Group D,Full Time,Single,30,New York City,00:00.0,Active,9,18,1 Year,3 Years,College,Low,Medium,Outstanding,High,Best,Gould,Male,72610,Other,714
Asset Management,Group D,Part Time,Single,33,Houston,00:00.0,Active,6,11,1 Year,3 Years,Doctor,Low,Low,Outstanding,Low,Best,Pope,Female,89305,Other,742
Asset Management,Group D,Part Time,Single,65,Los Angeles,00:00.0,Active,1,15,2 Years,3 Years,Doctor,Very High,Low,Good,Low,Bad,Gordon,Male,90806,Other,757
Research and Development,Group B,Part Time,Single,42,Houston,00:00.0,Active,5,15,2 Years,3 Years,Doctor,Low,High,Good,High,Better,Boyd,Male,104041,Other,758
Public Relations,Group C,Part Time,Single,58,New York City,00:00.0,Non Active,3,17,2 Years,3 Years,Doctor,Very High,Low,Excellent,Medium,Best,Shepard,Male,77347,Other,851
Public Relations,Group D,Part Time,Single,29,Los Angeles,00:00.0,Active,6,15,1 Year,3 Years,College,Medium,Medium,Excellent,Medium,Best,Hutchinson,Female,72819,Other,861
Sales and Marketing,Group D,Part Time,Single,39,Los Angeles,00:00.0,Non Active,1,19,2 Years,3 Years,Masters,Very High,Very High,Low,Low,Better,Schultz,Male,71602,Other,873
Finances,Group A,Part Time,Single,32,New York City,00:00.0,Active,7,16,3 Years,3 Years,Doctor,Medium,Medium,Outstanding,Very High,Bad,Estrada,Male,89206,Other,880
Media Relations,Group C,Part Time,Single,28,Houston,00:00.0,Active,7,5,3 Years,3 Years,Bachelor,Medium,Very High,Good,Medium,Good,Dillard,Female,114331,Other,889
Human Resources,Group D,Full Time,Single,65,Houston,00:00.0,Non Active,7,17,1 Year,3 Years,Bachelor,Medium,Medium,Good,Medium,Best,Stuart,Male,111234,Other,904
Human Resources,Group A,Part Time,Single,30,Seattle,00:00.0,Non Active,9,16,3 Years,3 Years,Masters,Very High,Very High,Excellent,High,Bad,Collier,Female,119286,Other,949
Sales and Marketing,Group D,Part Time,Single,33,Los Angeles,00:00.0,Non Active,6,8,3 Years,3 Years,Masters,Low,Very High,Low,Medium,Better,Ford,Male,89658,Other,981
Sales and Marketing,Group D,Full Time,Single,59,Houston,00:00.0,Active,7,6,2 Years,3 Years,Doctor,Very High,High,Low,Medium,Good,Finch,Female,96821,Other,1033
Tech Support,Group A,Full Time,Single,61,New York City,00:00.0,Active,9,20,1 Year,3 Years,Bachelor,Very High,Medium,Excellent,High,Better,Cunningham,Female,82535,Other,1067
Sales and Marketing,Group A,Full Time,Single,31,Houston,00:00.0,Active,4,19,3 Years,3 Years,Bachelor,Medium,Low,Outstanding,High,Better,Benton,Female,101707,Other,1101
Public Relations,Group B,Full Time,Single,36,Houston,00:00.0,Non Active,10,15,2 Years,3 Years,Doctor,Very High,Medium,Outstanding,Very High,Better,Curtis,Female,117589,Other,1119
Media Relations,Group A,Part Time,Single,57,Los Angeles,00:00.0,Non Active,12,19,3 Years,3 Years,Bachelor,Low,Medium,Good,Medium,Better,Patrick,Female,75746,Other,1130
Quality Assurance,Group B,Part Time,Single,44,Houston,00:00.0,Non Active,3,6,1 Year,3 Years,Doctor,High,Medium,Excellent,Medium,Better,Cote,Male,70840,Other,1136
Sales and Marketing,Group A,Full Time,Single,39,Seattle,00:00.0,Non Active,9,5,1 Year,3 Years,Masters,Low,Very High,Good,Very High,Good,Hess,Male,110552,Other,1175
Customer Service,Group C,Full Time,Single,51,Seattle,00:00.0,Non Active,7,6,1 Year,3 Years,College,Medium,Very High,Excellent,Very High,Bad,Lowe,Female,77116,Other,1201
Public Relations,Group A,Full Time,Single,48,Seattle,00:00.0,Active,2,6,1 Year,3 Years,College,Medium,High,Good,High,Best,Todd,Female,107948,Other,1202
Human Resources,Group C,Full Time,Single,25,New York City,00:00.0,Non Active,7,20,2 Years,3 Years,Masters,Low,High,Low,Low,Good,Villarreal,Female,76420,Other,1203
Sales and Marketing,Group D,Full Time,Single,53,Houston,00:00.0,Non Active,7,11,1 Year,3 Years,Bachelor,Very High,High,Outstanding,Very High,Better,Parks,Female,85116,Other,1219
Research and Development,Group D,Part Time,Single,65,Seattle,00:00.0,Non Active,2,19,2 Years,3 Years,Masters,High,Very High,Low,Very High,Best,Haley,Male,117579,Other,1231
Sales and Marketing,Group B,Full Time,Single,27,Seattle,00:00.0,Active,11,19,3 Years,3 Years,Masters,Medium,High,Excellent,Medium,Bad,Sherman,Female,84881,Other,1244
Customer Service,Group B,Full Time,Single,40,New York City,00:00.0,Non Active,4,8,3 Years,3 Years,Masters,High,Medium,Outstanding,Very High,Best,Guthrie,Female,71830,Other,1268
Legal Department,Group D,Part Time,Single,49,New York City,00:00.0,Active,12,20,1 Year,3 Years,Bachelor,Very High,High,Outstanding,Low,Good,Henry,Male,89464,Other,1341
Media Relations,Group A,Part Time,Single,33,New York City,00:00.0,Active,12,11,3 Years,3 Years,Doctor,Very High,High,Low,Low,Bad,Beard,Male,77264,Other,1367
Media Relations,Group C,Full Time,Single,65,Seattle,00:00.0,Non Active,9,11,2 Years,3 Years,Masters,High,Very High,Outstanding,Medium,Better,Estrada,Female,95787,Other,1401
Research and Development,Group A,Part Time,Single,40,New York City,00:00.0,Non Active,1,6,3 Years,3 Years,Doctor,High,Low,Excellent,Medium,Bad,Daniels,Female,87768,Other,1407
Tech Support,Group C,Full Time,Single,39,Los Angeles,00:00.0,Non Active,8,18,2 Years,3 Years,Doctor,Medium,Medium,Excellent,Very High,Good,Compton,Female,95587,Other,1419
Customer Relations,Group D,Full Time,Single,58,Houston,00:00.0,Active,9,12,3 Years,3 Years,Bachelor,Medium,Medium,Low,Low,Good,Norton,Male,97730,Other,1457
Customer Service,Group D,Full Time,Single,47,Los Angeles,00:00.0,Active,8,7,1 Year,3 Years,College,Very High,Low,Low,Medium,Good,Perez,Female,107357,Other,1489
Payroll,Group D,Part Time,Single,37,New York City,00:00.0,Active,10,17,3 Years,3 Years,Bachelor,Medium,Low,Low,Very High,Bad,Dotson,Male,84414,Other,1510
Finances,Group C,Full Time,Single,53,Seattle,00:00.0,Active,11,18,2 Years,3 Years,Masters,Medium,Medium,Low,Medium,Good,Brady,Female,79639,Other,1587
Tech Support,Group B,Part Time,Single,34,Seattle,00:00.0,Non Active,3,17,2 Years,3 Years,Bachelor,Very High,Very High,Excellent,Medium,Best,Mcfadden,Female,77489,Other,1624
Sales and Marketing,Group A,Part Time,Single,42,Houston,00:00.0,Non Active,8,9,3 Years,3 Years,College,Medium,Very High,Good,High,Good,Jensen,Female,113035,Other,1643
Advertising,Group A,Full Time,Single,57,Seattle,00:00.0,Non Active,9,15,2 Years,3 Years,Masters,High,Very High,Good,Low,Better,Mcfarland,Male,107328,Other,1658
Accounting,Group C,Full Time,Single,58,Seattle,00:00.0,Active,10,16,1 Year,3 Years,Bachelor,Very High,Medium,Excellent,Very High,Better,Leon,Female,78610,Other,1680
Media Relations,Group B,Full Time,Single,62,Los Angeles,00:00.0,Active,7,17,2 Years,3 Years,College,Low,Very High,Outstanding,Medium,Good,Guerrero,Male,113202,Other,1683
Advertising,Group B,Full Time,Single,55,Seattle,00:00.0,Non Active,3,15,3 Years,3 Years,College,Medium,High,Outstanding,High,Bad,Ballard,Female,116638,Other,1732
Media Relations,Group D,Full Time,Single,34,Houston,00:00.0,Active,4,12,1 Year,3 Years,Bachelor,Very High,Low,Excellent,Low,Better,Curry,Male,117819,Other,1741
Tech Support,Group C,Full Time,Single,60,New York City,00:00.0,Non Active,2,9,3 Years,3 Years,Doctor,Medium,Medium,Outstanding,Medium,Bad,Mayo,Female,94966,Other,1765
Advertising,Group A,Part Time,Single,53,Seattle,00:00.0,Non Active,6,11,3 Years,3 Years,Masters,Low,Medium,Good,Medium,Better,Travis,Female,106671,Other,1795
Customer Relations,Group C,Full Time,Single,48,New York City,00:00.0,Active,12,20,2 Years,3 Years,Doctor,Very High,Very High,Outstanding,Medium,Good,Martin,Male,87984,Other,1869
Research and Development,Group C,Full Time,Single,32,Houston,00:00.0,Active,7,6,1 Year,3 Years,Doctor,Medium,High,Outstanding,High,Better,Valenzuela,Female,102113,Other,1872
Customer Service,Group D,Full Time,Single,40,Houston,00:00.0,Active,4,5,2 Years,3 Years,Bachelor,Low,High,Low,High,Best,Rasmussen,Male,112792,Other,1893
Public Relations,Group D,Full Time,Single,31,New York City,00:00.0,Non Active,10,8,2 Years,3 Years,College,Medium,Very High,Low,High,Bad,Shaffer,Female,117919,Other,1897
Customer Service,Group A,Part Time,Single,27,New York City,00:00.0,Non Active,2,15,3 Years,3 Years,Bachelor,Low,Low,Excellent,Very High,Good,Townsend,Female,101718,Other,1906
Tech Support,Group B,Part Time,Single,44,Los Angeles,00:00.0,Active,10,5,3 Years,3 Years,Doctor,High,Low,Low,High,Best,Morgan,Female,113948,Other,1925
Customer Relations,Group C,Full Time,Single,35,Seattle,00:00.0,Active,4,16,1 Year,3 Years,Bachelor,Low,Medium,Good,Low,Better,Craig,Female,73181,Other,1936
Research and Development,Group B,Full Time,Single,56,Houston,00:00.0,Non Active,8,11,1 Year,3 Years,Masters,Low,Very High,Outstanding,High,Better,Chan,Female,74994,Other,1959
Tech Support,Group A,Part Time,Single,49,Houston,00:00.0,Active,12,8,3 Years,3 Years,College,High,High,Low,Very High,Good,Vaughan,Female,78334,Other,1972
Media Relations,Group B,Part Time,Single,31,Houston,00:00.0,Active,10,18,2 Years,3 Years,Doctor,High,Low,Excellent,Very High,Best,Morris,Male,87629,Other,2068
Advertising,Group D,Full Time,Single,24,Houston,00:00.0,Active,7,6,2 Years,3 Years,College,Medium,Medium,Low,Very High,Better,Nielsen,Female,88684,Other,2088
Finances,Group B,Part Time,Single,65,Seattle,00:00.0,Active,3,7,3 Years,3 Years,Doctor,Medium,Medium,Good,Very High,Good,Camacho,Male,114993,Other,2112
Finances,Group B,Full Time,Single,53,Seattle,00:00.0,Non Active,9,9,3 Years,3 Years,Doctor,Very High,Medium,Excellent,Medium,Best,Merrill,Female,105109,Other,2137
Finances,Group A,Full Time,Single,56,Los Angeles,00:00.0,Non Active,7,9,1 Year,3 Years,Bachelor,Very High,High,Excellent,Medium,Better,Russo,Female,109258,Other,2198
Media Relations,Group B,Full Time,Single,27,New York City,00:00.0,Non Active,2,12,2 Years,3 Years,Masters,Very High,Low,Good,High,Better,Horton,Male,98447,Other,2218
Asset Management,Group C,Full Time,Single,64,Seattle,00:00.0,Active,7,10,2 Years,3 Years,Masters,Very High,High,Low,High,Bad,Daniels,Female,84176,Other,2227
Tech Support,Group C,Full Time,Single,40,Los Angeles,00:00.0,Active,7,20,2 Years,3 Years,Masters,High,High,Outstanding,Low,Bad,Brooks,Female,111899,Other,2269
Public Relations,Group C,Part Time,Single,49,Houston,00:00.0,Non Active,7,18,2 Years,3 Years,Bachelor,Low,Medium,Good,Medium,Better,Foreman,Male,119231,Other,2281
Media Relations,Group A,Full Time,Single,52,Los Angeles,00:00.0,Non Active,3,8,3 Years,3 Years,Masters,High,Very High,Good,Medium,Best,Farmer,Female,70258,Other,2324
Quality Assurance,Group C,Part Time,Single,65,Houston,00:00.0,Non Active,1,6,2 Years,3 Years,Masters,Very High,High,Good,Medium,Bad,Gentry,Male,70719,Other,2406
Accounting,Group B,Full Time,Single,36,New York City,00:00.0,Active,11,12,1 Year,3 Years,Doctor,High,Very High,Low,Very High,Good,Valencia,Female,104487,Other,2445
Quality Assurance,Group D,Part Time,Single,24,New York City,00:00.0,Non Active,6,7,2 Years,3 Years,Masters,Very High,Very High,Excellent,Medium,Best,Sampson,Male,102352,Other,2450
Research and Development,Group B,Part Time,Single,28,Seattle,00:00.0,Non Active,4,11,1 Year,3 Years,College,High,Low,Excellent,Medium,Better,Mason,Male,71983,Other,2452
Asset Management,Group A,Full Time,Single,55,Houston,00:00.0,Non Active,8,17,1 Year,3 Years,Masters,Very High,Very High,Good,Low,Bad,Villarreal,Male,86339,Other,2492
Media Relations,Group A,Part Time,Single,43,Seattle,00:00.0,Non Active,9,16,3 Years,3 Years,Bachelor,Medium,Medium,Excellent,Very High,Good,Ryan,Female,99189,Other,2503
Human Resources,Group A,Full Time,Single,32,Seattle,00:00.0,Active,3,17,2 Years,3 Years,College,Low,Low,Good,High,Good,Medina,Male,101989,Other,2507
Accounting,Group A,Part Time,Single,58,New York City,00:00.0,Active,4,7,2 Years,3 Years,Doctor,Low,Low,Low,Very High,Best,Higgins,Female,98307,Other,2513
Accounting,Group A,Part Time,Single,26,Seattle,00:00.0,Non Active,5,5,1 Year,3 Years,College,High,Very High,Low,Low,Bad,Mayer,Male,92790,Other,2517
Sales and Marketing,Group B,Part Time,Single,56,Houston,00:00.0,Non Active,4,5,1 Year,3 Years,Doctor,Medium,High,Excellent,Very High,Best,Whitaker,Male,76074,Other,2558
